year,month,month_name,total_accidents,mean_daily_accidents,mean_fatal_share,mean_serious_or_fatal_share,mean_rain_mm,mean_max_temp_c,mean_cloud_cover_pct,mean_wind_speed_kmh,mean_weather_locations,month_start
2010,9,Sep,13904,463.46666666666664,0.012059264046009915,0.15448070317537158,2.507044400265076,16.55420808482439,56.86037110669317,14.374221338634857,503.0,2010-09-01
2010,10,Oct,14429,465.4516129032258,0.012178624366103698,0.14699800981903696,2.389135998143245,13.200559825888499,51.51036688216833,16.06938463942408,503.64516129032256,2010-10-01
2010,11,Nov,14544,484.8,0.01078635793507015,0.13271949426154742,2.5027754636203943,7.420446369402631,60.50954090273176,16.957603321867733,503.4,2010-11-01
2010,12,Dec,10345,333.7096774193548,0.010700817978821085,0.12336203948685523,1.0577502725581993,2.187455909703072,56.11857884948375,14.229782594754056,503.0,2010-12-01
2011,1,Jan,11761,379.38709677419354,0.014286348921392697,0.1485990739070212,2.283883794010133,5.646315654460334,55.77361636631822,16.287308407618802,503.0,2011-01-01
2011,2,Feb,11150,398.2142857142857,0.012303669004047637,0.14316123588177512,2.5843652371485377,8.031383129792673,66.61956830445897,18.33087191138881,503.0,2011-02-01
2011,3,Mar,12432,401.03225806451616,0.012063696540429412,0.1506790790402751,0.8273263643942795,10.130507278907203,48.43160392483807,13.532931443596487,503.0,2011-03-01
2011,4,Apr,12342,411.4,0.012433378594309371,0.15979898467610687,0.5625513585155733,15.75142478462558,40.678992710404245,13.054075546719682,503.0,2011-04-01
2011,5,May,12623,407.19354838709677,0.011250754822864953,0.15149374397722812,1.8213557365484514,14.95581350606041,49.60770858718656,17.63259154748926,503.0,2011-05-01
2011,6,Jun,13048,434.93333333333334,0.012985778446984057,0.14952626770789224,2.6635719019218027,16.54234592445328,55.765937707090785,13.418157720344599,503.0,2011-06-01
2011,7,Jul,13118,423.16129032258067,0.011276802541973227,0.15773925806229885,2.035644199320208,18.202655037516834,52.43769640223177,11.644712370935677,503.0,2011-07-01
2011,8,Aug,12031,388.0967741935484,0.013541420362376584,0.16255989254881642,2.5260501507086515,18.103443853010965,55.77925992432502,12.24510998524979,503.0,2011-08-01
2011,9,Sep,13339,444.6333333333333,0.011837376860256717,0.15776401034565762,2.060728959575878,17.643074884029158,53.762425447316105,16.355732273028494,503.0,2011-09-01
2011,10,Oct,13748,443.48387096774195,0.010765355156992104,0.15113849791139228,2.1844956248174037,14.786137119932734,54.21127255921715,17.90365258525651,503.64516129032256,2011-10-01
2011,11,Nov,13197,439.9,0.012635180911965915,0.15169468943833525,1.875522684001809,11.854247530688884,55.399878375251134,17.593445412182987,503.4,2011-11-01
2011,12,Dec,12685,409.19354838709677,0.012376035145061012,0.14750881201810537,2.589912140062849,7.950747130122491,53.53921631501315,22.708202398512153,503.0,2011-12-01
2012,1,Jan,11836,381.80645161290323,0.011452820334661655,0.15340658269422638,1.9291220419418968,7.43737574552684,51.57538639132944,20.091515423587506,503.0,2012-01-01
2012,2,Feb,10520,375.7142857142857,0.011615321560342302,0.15125121581836062,1.087794660607782,6.6498863959102525,53.460451576256744,16.18318659471741,503.0,2012-02-01
2012,3,Mar,12171,392.61290322580646,0.012297607563261892,0.16041073775313422,0.7708202398512153,12.14615532610787,38.294940037196184,13.148912973770281,503.0,2012-03-01
2012,4,Apr,10820,360.6666666666667,0.011129355124112207,0.14658074839280585,4.06025182239894,10.295096090125911,60.96275679257787,15.370112657388999,503.0,2012-04-01
2012,5,May,12439,401.258064516129,0.010957332794690036,0.16826519034747647,2.2401911113961392,14.617520682357467,52.86679920477137,12.690502148399922,503.0,2012-05-01
