Year;Country;Growth rate per annum 2021;Growth rate per annum 2011-21;Share 2021;Value (Million Tonnes)
1999;Ukraine;0.022555655053976054;0.08884036755734281;0.0030495710010741105;63.464
1999;United Kingdom;0.36848533243957005;0.24934977155217042;0.00012894522084479985;37.077
1999;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;305.832
1999;India;0.07130963858723316;0.037068965826993816;0.09926513454068905;314.415
1999;Mongolia;0.24775084449817752;0.00206923151097671;0.003954375575690253;4.9639999999999995
1999;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;4.197
1999;Non-OECD;0.05900431417266949;0.014729935856491405;0.8161573264955859;2541.409854425317
2000;Colombia;0.14233017319863284;0.035784157778402936;0.007292645008018513;38.242
2000;Venezuela;0.4445800462101157;0.24473357140199192;1.9298342461462123e-05;7.88
2000;United Kingdom;0.36848533243957005;0.24934977155217042;0.00012894522084479985;31.197582666666666
2000;Other Europe;0.08143485051837951;0.04231395217761902;0.005592722588804486;90.61587129482074
2000;USSR;;;0.0;0.0
2000;Other CIS;0.0985833829096252;0.06155879571526457;0.0008385855865926758;2.4491000000000005
2000;Zimbabwe;0.20035738172266493;0.023729341127490144;0.0003963497610064888;4.41
2000;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;313.9175
2001;Greece;0.12439241484026642;0.20775296576839075;0.0006992484502302842;66.34400000000001
2001;Turkey;0.14932150581452786;0.012033995537216624;0.010478024230798112;62.09636164
2001;Other Europe;0.08143485051837951;0.04231395217761902;0.005592722588804486;91.77556320434354
2001;USSR;;;0.0;0.0
2001;India;0.07130963858723316;0.037068965826993816;0.09926513454068905;341.87999999999994
2001;Mongolia;0.24775084449817752;0.00206923151097671;0.003954375575690253;5.140999999999999
2001;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;3.8170000000000006
2001;Other Asia Pacific;0.06921512985474632;0.04004659187085946;0.007014259931471302;32.91856800261418
2002;US;0.08256960177475148;0.06193897925578562;0.06416650285838102;992.7167950700998
2002;Brazil;0.17023494297908837;0.008578213816110125;0.0010081709024133358;7.595625
2002;Venezuela;0.4445800462101157;0.24473357140199192;1.9298342461462123e-05;8.1
2002;Other S. & Cent. America;0.6116409748058773;0.1538890511163924;2.078968030892012e-05;0.5702401694915255
2002;Greece;0.12439241484026642;0.20775296576839075;0.0006992484502302842;70.468
2002;Hungary;0.18347694158636674;0.06294396198179919;0.0006102743817677052;12.763971000000002
2002;Turkey;0.14932150581452786;0.012033995537216624;0.010478024230798112;53.98393646
2002;USSR;;;0.0;0.0
2002;Other CIS;0.0985833829096252;0.06155879571526457;0.0008385855865926758;2.6665
2002;New Zealand;0.02014585239989719;0.05329918501445485;0.000350880265601473;4.458938999999999
2003;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;62.5796
2003;Mexico;0.036751038659836865;0.09237433050601762;0.0009105802231721182;9.195092268783425
2003;Brazil;0.17023494297908837;0.008578213816110125;0.0010081709024133358;6.809558000000001
2003;Germany;0.17639856126119247;0.039512168236050194;0.015417336761918336;205.22799999999998
2003;Poland;0.07187884398472422;0.02544615299471864;0.013170857044768721;163.79000000000005
2003;Turkey;0.14932150581452786;0.012033995537216624;0.010478024230798112;48.562765999999996
2003;Kazakhstan;0.023045193099687333;0.0006507673971308803;0.014156284266664312;84.90620000000001
2003;Russian Federation;0.08806013956441316;0.02541930424262473;0.05306385319494244;279.006206955775
2003;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;1.9130000000000005
2003;Australia;0.02116683601316338;0.012366836805291825;0.0585606985827059;351.0540000000001
2003;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;3.298
2003;Vietnam;0.008293739303020575;0.002616751850863519;0.0058543246174405286;19.314
2004;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;66.2064
2004;Czech Republic;0.001548048060778573;0.059356025660057155;0.0038540575854745032;61.8
2004;Germany;0.17639856126119247;0.039512168236050194;0.015417336761918336;208.03599999999997
2004;Hungary;0.18347694158636674;0.06294396198179919;0.0006102743817677052;11.250258
2004;Other Africa;0.28291411330910066;0.2188690523477641;0.001923898592540518;1.971038
2004;Indonesia;0.09214398182849903;0.05683054477326621;0.07512773448641624;132.352025
2004;New Zealand;0.02014585239989719;0.05329918501445485;0.000350880265601473;5.1553939999999985
2004;of which: OECD;0.06380991183012563;0.03714854139014789;0.18384267350441383;2154.5088394637132
